# 1:time 2:hplus 3:hcross
3.5527966994e-01 3.7982734229e-01 -1.1240723667e-01
3.5528816960e-01 4.2194290045e-01 2.6885268554e-02
3.5529666921e-01 4.6383042959e-01 1.6689896616e-01
3.5530516877e-01 5.0526818054e-01 3.0688468264e-01
3.5531366829e-01 5.4602911057e-01 4.4658152749e-01
3.5532216777e-01 5.8582207820e-01 5.8503685498e-01
3.5533066722e-01 6.2435535612e-01 7.2082561422e-01
3.5533916662e-01 6.6160750845e-01 8.5341145920e-01
3.5534766600e-01 6.9759944558e-01 9.8278396504e-01
3.5535616534e-01 7.3185859604e-01 1.1084375533e+00
3.5536466465e-01 7.6387346008e-01 1.2297693818e+00
3.5537316394e-01 7.9346781811e-01 1.3463307156e+00
3.5538166320e-01 8.2010900484e-01 1.4575447039e+00
3.5539016243e-01 8.4323164548e-01 1.5626493292e+00
3.5539866164e-01 8.6266102055e-01 1.6609967822e+00
3.5540716083e-01 8.7841832748e-01 1.7524449775e+00
3.5541566000e-01 8.9003752713e-01 1.8365659323e+00
3.5542415914e-01 8.9678773211e-01 1.9126473704e+00
3.5543265827e-01 8.9838884316e-01 1.9802330130e+00
3.5544115738e-01 8.9459714072e-01 2.0390448717e+00
3.5544965647e-01 8.8508959646e-01 2.0886959662e+00
3.5545815555e-01 8.6961259772e-01 2.1284668233e+00
3.5546665462e-01 8.4782811935e-01 2.1579955257e+00
3.5547515368e-01 8.1959967982e-01 2.1771244102e+00
3.5548365272e-01 7.8491497231e-01 2.1854295977e+00
3.5549215176e-01 7.4350739852e-01 2.1823939630e+00
3.5550065078e-01 6.9516027166e-01 2.1676928795e+00
3.5550914978e-01 6.3976296397e-01 2.1410776175e+00
3.5551764875e-01 5.7732925410e-01 2.1022083171e+00
3.5552614770e-01 5.0810096601e-01 2.0513025562e+00
3.5553464663e-01 4.3205509240e-01 1.9886095820e+00
3.5554314554e-01 3.4921504321e-01 1.9140950702e+00
3.5555164442e-01 2.6028222138e-01 1.8276993313e+00
3.5556014328e-01 1.6593396756e-01 1.7295873213e+00
3.5556864211e-01 6.6646367176e-02 1.6203915999e+00
3.5557714090e-01 -3.6879527921e-02 1.5007205736e+00
3.5558563967e-01 -1.4393511459e-01 1.3713858631e+00
3.5559413840e-01 -2.5372900802e-01 1.2333453180e+00
3.5560263709e-01 -3.6529290224e-01 1.0875721778e+00
3.5561113574e-01 -4.7779975576e-01 9.3508418278e-01
3.5561963435e-01 -5.9024395092e-01 7.7690615065e-01
3.5562813292e-01 -7.0167320476e-01 6.1437000839e-01
3.5563663143e-01 -8.1108786104e-01 4.4915182002e-01
3.5564512989e-01 -9.1755611130e-01 2.8276235812e-01
3.5565362829e-01 -1.0203263124e+00 1.1637426363e-01
3.5566212662e-01 -1.1187853661e+00 -4.8690187183e-02
3.5567062490e-01 -1.2125068039e+00 -2.1112540048e-01
3.5567912311e-01 -1.3007667442e+00 -3.6980088692e-01
3.5568762127e-01 -1.3828415215e+00 -5.2364321427e-01
3.5569611937e-01 -1.4586384216e+00 -6.7166820449e-01
3.5570461742e-01 -1.5281298508e+00 -8.1318518173e-01
3.5571311543e-01 -1.5910053319e+00 -9.4743372445e-01
3.5572161338e-01 -1.6471505141e+00 -1.0737597504e+00
3.5573011130e-01 -1.6960595701e+00 -1.1918398252e+00
3.5573860918e-01 -1.7376249281e+00 -1.3011778464e+00
3.5574710703e-01 -1.7726163683e+00 -1.4014418622e+00
3.5575560484e-01 -1.8014974901e+00 -1.4928605844e+00
3.5576410262e-01 -1.8241800592e+00 -1.5757480751e+00
3.5577260037e-01 -1.8405388787e+00 -1.6500744887e+00
3.5578109810e-01 -1.8506848674e+00 -1.7157289805e+00
3.5578959580e-01 -1.8549010884e+00 -1.7728269112e+00
3.5579809347e-01 -1.8534470588e+00 -1.8215667199e+00
3.5580659112e-01 -1.8466328173e+00 -1.8623021645e+00
3.5581508875e-01 -1.8348734703e+00 -1.8955269327e+00
3.5582358636e-01 -1.8183018037e+00 -1.9213943260e+00
3.5583208394e-01 -1.7968071716e+00 -1.9399097780e+00
3.5584058152e-01 -1.7703987739e+00 -1.9510806827e+00
3.5584907907e-01 -1.7392219211e+00 -1.9546836143e+00
3.5585757661e-01 -1.7035013836e+00 -1.9504555587e+00
3.5586607414e-01 -1.6637227366e+00 -1.9385876781e+00
3.5587457165e-01 -1.6202046221e+00 -1.9194377917e+00
3.5588306915e-01 -1.5729695724e+00 -1.8928612434e+00
3.5589156664e-01 -1.5221024885e+00 -1.8587767289e+00
3.5590006413e-01 -1.4676710426e+00 -1.8172190797e+00
3.5590856160e-01 -1.4098679225e+00 -1.7680317574e+00
3.5591705907e-01 -1.3489259780e+00 -1.7111151333e+00
3.5592555652e-01 -1.2848033311e+00 -1.6460807127e+00
3.5593405397e-01 -1.2176229591e+00 -1.5726218308e+00
3.5594255141e-01 -1.1479535755e+00 -1.4908635927e+00
3.5595104884e-01 -1.0761931469e+00 -1.4010220754e+00
3.5595954626e-01 -1.0025179439e+00 -1.3031381553e+00
3.5596804367e-01 -9.2730276305e-01 -1.1971831415e+00
3.5597654107e-01 -8.5118812549e-01 -1.0832724093e+00
3.5598503846e-01 -7.7491829253e-01 -9.6150012307e-01
3.5599353583e-01 -7.0051501739e-01 -8.3470697125e-01
3.5600169947e-01 -6.2526561306e-01 -6.9826681739e-01
3.5601019682e-01 -5.5241116670e-01 -5.5814064530e-01
3.5601869416e-01 -4.7975152096e-01 -4.0931980825e-01
3.5602719149e-01 -4.0965665484e-01 -2.5515505758e-01
3.5603568881e-01 -3.4287285858e-01 -9.6219741729e-02
3.5604418611e-01 -2.7981091800e-01 6.6514465248e-02
3.5605268340e-01 -2.2084089688e-01 2.3163506207e-01
3.5606118068e-01 -1.6658848940e-01 3.9805924286e-01
3.5606967792e-01 -1.1730530806e-01 5.6476688784e-01
3.5607817511e-01 -7.2892299847e-02 7.3065953496e-01
3.5608667226e-01 -3.3329275463e-02 8.9444528903e-01
3.5609516937e-01 1.4058164175e-03 1.0547587463e+00
3.5610366643e-01 3.1446686054e-02 1.2107189132e+00
3.5611216344e-01 5.6950041735e-02 1.3609477989e+00
3.5612066040e-01 7.8234095627e-02 1.5037187172e+00
3.5612915731e-01 9.5817204393e-02 1.6379070997e+00
3.5613765417e-01 1.1009267798e-01 1.7625196884e+00
3.5614615099e-01 1.2165290724e-01 1.8764105262e+00
3.5615464775e-01 1.3129550325e-01 1.9787046005e+00
3.5616314446e-01 1.3941213366e-01 2.0688772193e+00
3.5617164113e-01 1.4647404884e-01 2.1463859065e+00
3.5618013774e-01 1.5327786580e-01 2.2107910919e+00
3.5618863432e-01 1.6007927477e-01 2.2616553190e+00
3.5619713085e-01 1.6678387799e-01 2.2987358484e+00
3.5620562734e-01 1.7357087114e-01 2.3222605101e+00
3.5621412379e-01 1.8067889324e-01 2.3322588393e+00
3.5622262021e-01 1.8828386710e-01 2.3286562402e+00
3.5623111660e-01 1.9661692485e-01 2.3117341524e+00
3.5623961296e-01 2.0591528746e-01 2.2820745924e+00
3.5624810929e-01 2.1632026361e-01 2.2402980549e+00
3.5625660560e-01 2.2779504013e-01 2.1867735095e+00
3.5626510189e-01 2.3994917562e-01 2.1219598214e+00
3.5627359815e-01 2.5271260882e-01 2.0465547754e+00
3.5628209440e-01 2.6650811031e-01 1.9613816407e+00
3.5629059062e-01 2.8165087015e-01 1.8672898932e+00
