,f0,tau,A,h_rss,h_rss_crop,S,N
53,849,0.5,2.5000000000000002e-21,4.4194161324750745e-22,4.418674782109743e-22,1.952468683005259e-43,1.636690737968687e-37
54,849,0.5,3e-21,5.303299358970105e-22,5.3024097385316905e-22,2.8115549035275714e-43,1.636690737968687e-37
55,849,0.5,3.4999999999999996e-21,6.187182585465106e-22,6.186144694953639e-22,3.826838618690305e-43,1.636690737968687e-37
56,849,1.0,2.0000000000000002e-21,4.999999380732882e-22,4.999160646164269e-22,2.499160716615755e-43,2.874325635968076e-37
57,849,1.0,2.5000000000000002e-21,6.249999225916065e-22,6.248950807705335e-22,3.904938619712116e-43,2.874325635968076e-37
58,849,1.0,3e-21,7.499999071099331e-22,7.498740969246403e-22,5.6231116123854484e-43,2.874325635968076e-37
59,849,1.0,3.4999999999999996e-21,8.749998916282507e-22,8.748531130787468e-22,7.653679694635746e-43,2.874325635968076e-37
60,1615,0.2,4.0000000000000004e-21,4.472126531127366e-22,4.471376147538185e-22,1.9993204652773425e-43,8.520925065597142e-38
61,1615,0.2,5.0000000000000005e-21,5.590158163909215e-22,5.589220184422731e-22,3.123938226995847e-43,8.520925065597142e-38
62,1615,0.2,6e-21,6.7081897966910525e-22,6.707064221307278e-22,4.49847104687402e-43,8.520925065597142e-38
63,1615,0.2,6.999999999999999e-21,7.826221429472902e-22,7.824908258191825e-22,6.122918924911862e-43,8.520925065597142e-38
64,1615,0.5,5.0000000000000005e-21,8.838827570176162e-22,8.837344801706445e-22,7.809866314424792e-43,1.636690737968687e-37
65,1615,0.5,6e-21,1.0606593084211433e-21,1.0604813762047733e-21,1.1246207492771698e-42,1.636690737968687e-37
66,1615,0.5,6.999999999999999e-21,1.2374358598246642e-21,1.237228272238902e-21,1.5307337976272587e-42,1.636690737968687e-37
67,1615,0.5,8.000000000000001e-21,1.4142124112281915e-21,1.413975168273031e-21,1.9993257764927465e-42,1.636690737968687e-37
68,1615,1.0,5.0000000000000005e-21,1.2499994972848385e-21,1.2497898088558458e-21,1.5619745663199315e-42,2.874325635968076e-37
69,1615,1.0,6e-21,1.4999993967418151e-21,1.4997477706270151e-21,2.2492433755007017e-42,2.874325635968076e-37
70,1615,1.0,6.999999999999999e-21,1.7499992961987705e-21,1.7497057323981837e-21,3.0614701499870644e-42,2.874325635968076e-37
71,1615,1.0,8.000000000000001e-21,1.999999195655751e-21,1.9996636941693533e-21,3.9986548897790246e-42,2.874325635968076e-37
72,2000,0.001,4.5e-19,3.544337209301333e-21,3.5437390938863005e-21,1.25580867655381e-41,9.724532752388394e-40
73,2000,0.001,5e-19,3.938152454779259e-21,3.937487882095889e-21,1.550381082165197e-41,9.724532752388394e-40
74,2000,0.001,5.5e-19,4.331967700257185e-21,4.331236670305477e-21,1.875961109419888e-41,9.724532752388394e-40
75,2000,0.2,2.5e-20,2.795076026243349e-21,2.794606977413985e-21,7.809828158210928e-42,8.520925065597142e-38
76,2000,0.2,2.9999999999999997e-20,3.3540912314920207e-21,3.3535283728967812e-21,1.1246152547823733e-41,8.520925065597142e-38
77,2000,0.2,3.5e-20,3.9131064367406885e-21,3.91244976837958e-21,1.5307263190093425e-41,8.520925065597142e-38
